Fecha;LEGATRUU Index;COP Curncy;MXEF Index;COLCAP Index;SPX Index;.2-10us Index;Bitcoin;;;;;;;
2/01/2008;361.0098;2016.61;1235.23;1057.58;1447.16;102.7254;;;;;;;;
3/01/2008;361.1264;2013.3;1227.51;1054.6;1447.16;108.1114;;;;;;;;
4/01/2008;363.2262;2013.5;1225.03;1051.56;1411.63;112.1181;;;;;;;;
5/01/2008;363.2262;2013.5;1225.03;1051.56;1411.63;112.1181;;;;;;;;
6/01/2008;363.2262;2013.5;1225.03;1051.56;1411.63;112.1181;;;;;;;;
7/01/2008;362.6797;2011.5;1207.47;1051.56;1416.18;108.7881;;;;;;;;
8/01/2008;361.8322;2001.58;1220.31;1030.37;1390.19;110.4671;;;;;;;;
9/01/2008;361.8908;2006.55;1227;1025.68;1409.13;110.4113;;;;;;;;
10/01/2008;361.9603;2002.9;1221.29;1026.72;1420.33;119.1438;;;;;;;;
11/01/2008;363.3843;1975.08;1213.7;1020.73;1401.02;123.2396;;;;;;;;
12/01/2008;363.3843;1975.08;1213.7;1020.73;1401.02;123.2396;;;;;;;;
13/01/2008;363.3843;1975.08;1213.7;1020.73;1401.02;123.2396;;;;;;;;
14/01/2008;364.6045;1949.55;1218;1000;1416.25;121.4519;;;;;;;;
15/01/2008;366.5352;1952.9;1196.16;980.21;1380.95;119.9323;;;;;;;;
16/01/2008;365.1801;1957.8;1147.47;958.99;1373.2;123.5366;;;;;;;;
17/01/2008;365.465;1957.7;1140.76;928.37;1333.25;122.0998;;;;;;;;
18/01/2008;364.7883;1979.05;1136.25;903.48;1325.19;128.3622;;;;;;;;
19/01/2008;364.7883;1979.05;1136.25;903.48;1325.19;128.3622;;;;;;;;
20/01/2008;364.7883;1979.05;1136.25;903.48;1325.19;128.3622;;;;;;;;
21/01/2008;364.5457;1995.88;1069.83;832.36;1325.19;128.4739;;;;;;;;
22/01/2008;365.5502;1994.9;1041.06;879.66;1310.5;143.9879;;;;;;;;
23/01/2008;366.6063;1996.55;1055.18;890.89;1338.6;145.1216;;;;;;;;
24/01/2008;365.3751;1972.6;1083.34;933.78;1352.07;139.2404;;;;;;;;
25/01/2008;365.4537;1969.4;1111.14;939.6;1330.61;136.7673;;;;;;;;
26/01/2008;365.4537;1969.4;1111.14;939.6;1330.61;136.7673;;;;;;;;
27/01/2008;365.4537;1969.4;1111.14;939.6;1330.61;136.7673;;;;;;;;
28/01/2008;367.2541;1967.55;1087.71;930.97;1353.97;139.2098;;;;;;;;
29/01/2008;366.0915;1947.6;1102.82;946.5;1362.3;139.1174;;;;;;;;
30/01/2008;365.7;1935.2;1091.35;936.55;1355.81;150.0479;;;;;;;;
31/01/2008;367.4668;1932.55;1088.72;937.32;1378.55;150.0214;;;;;;;;
1/02/2008;368.0969;1922.05;1120;938.15;1395.42;152.4103;;;;;;;;
